"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 14 11:22:22 PST 2022","Fri Jan 14 11:22:30 PST 2022","7601","","tests.NinjahStepsTest","","tests.NinjahStepsTest","testNinjahOffer","testNinjahOffer()",""
"passed","Fri Jan 14 06:24:00 PST 2022","Fri Jan 14 06:24:07 PST 2022","6848","","tests.HostegramWithListener","","tests.HostegramWithListener","HostingOffer","HostingOffer()",""
"passed","Fri Jan 14 13:06:55 PST 2022","Fri Jan 14 13:07:03 PST 2022","7706","","tests.PorkbunDomainsTest","","tests.PorkbunDomainsTest","PorkbunOffer","PorkbunOffer()",""
"passed","Fri Jan 21 12:25:11 PST 2022","Fri Jan 21 12:25:13 PST 2022","1904","","tests.content.NinjahStepsTest","","tests.content.NinjahStepsTest","testNinjahOffer","testNinjahOffer()",""
"passed","Fri Jan 14 11:08:07 PST 2022","Fri Jan 14 11:08:32 PST 2022","25860","","tests.NinjahWithListener","","tests.NinjahWithListener","HostingNinjahOffer","HostingNinjahOffer()",""
"failed","Fri Jan 14 10:37:39 PST 2022","Fri Jan 14 10:37:50 PST 2022","11705","","tests.HostegramWithListener","","tests.HostegramWithListener","HostingNinjahOffer","HostingNinjahOffer()",""
"passed","Fri Jan 21 12:25:13 PST 2022","Fri Jan 21 12:25:15 PST 2022","1372","","tests.content.NinjahWithListener","","tests.content.NinjahWithListener","HostingNinjahOffer","HostingNinjahOffer()",""
"passed","Fri Jan 21 12:25:15 PST 2022","Fri Jan 21 12:25:17 PST 2022","2503","","tests.content.PorkbunDomainsTest","","tests.content.PorkbunDomainsTest","PorkbunOffer","PorkbunOffer()",""
"passed","Fri Jan 21 12:25:04 PST 2022","Fri Jan 21 12:25:11 PST 2022","7273","","tests.content.ExpertVMVPSTest","","tests.content.ExpertVMVPSTest","ExpertVMVPOffer","ExpertVMVPOffer()",""
"passed","Fri Jan 14 12:17:11 PST 2022","Fri Jan 14 12:17:34 PST 2022","23095","","tests.ExpertVMVPSTest","","tests.ExpertVMVPSTest","ExpertVMVPOffer","ExpertVMVPOffer()",""
